n,tangent,t2
0,5.54537,-0.737815
1,5.54537,-0.737815
2,5.54537,-0.737815
3,5.54537,-0.737815
4,5.54537,-0.737815
5,5.54537,-0.737815
6,5.54537,-0.737815
7,5.54537,-0.737815
8,5.54537,-0.737815
9,5.54537,-0.737815
10,5.54537,-0.737815
11,5.54537,-0.737815
12,5.54537,-0.737815
13,5.54537,-0.737815
14,5.54537,-0.737815
15,5.54537,-0.737815
16,5.54537,-0.737815
17,5.54537,-0.737815
18,5.54537,-0.737815
19,5.54537,-0.737815
20,5.74277,-0.54042
21,5.74277,-0.54042
22,5.90268,-0.380506
23,5.90268,-0.380506
24,5.90268,-0.380506
25,5.90268,-0.380506
26,5.66294,-0.620249
27,5.66294,-0.620249
28,5.66294,-0.620249
29,5.66294,-0.620249
30,5.66294,-0.620249
31,5.57456,-0.708626
32,5.57456,-0.708626
33,5.57456,-0.708626
34,5.57456,-0.708626
35,5.57456,-0.708626
36,5.57456,-0.708626
37,5.57456,-0.708626
38,5.57456,-0.708626
39,5.57456,-0.708626
40,5.57456,-0.708626
41,5.57456,-0.708626
42,5.90268,-0.380506
43,5.90268,-0.380506
44,5.90268,-0.380506
45,5.90268,-0.380506
46,5.90268,-0.380506
47,5.74277,-0.54042
48,5.74277,-0.54042
49,5.74277,-0.54042
50,5.74277,-0.54042
51,6.15063,-0.132552
52,6.15063,-0.132552
53,6.15063,-0.132552
54,6.15063,-0.132552
55,6.15063,-0.132552
56,6.15063,-0.132552
57,6.15063,-0.132552
58,6.15063,-0.132552
59,6.17253,-0.110657
60,6.17253,-0.110657
61,6.17253,-0.110657
62,6.17253,-0.110657
63,6.17253,-0.110657
64,6.17253,-0.110657
65,6.17253,-0.110657
66,6.17253,-0.110657
67,6.17253,-0.110657
68,6.00489,-0.2783
69,6.00489,-0.2783
70,6.00489,-0.2783
71,6.00489,-0.2783
72,5.63968,-0.643501
73,5.63968,-0.643501
74,5.63968,-0.643501
75,5.63968,-0.643501
76,5.63968,-0.643501
77,6.16608,-0.117109
78,6.16608,-0.117109
79,6.16608,-0.117109
80,6.16608,-0.117109
81,6.16608,-0.117109
82,6.16608,-0.117109
83,6.16608,-0.117109
84,6.16608,-0.117109
85,6.16608,-0.117109
86,6.22769,-0.0554985
87,6.22769,-0.0554985
88,6.22769,-0.0554985
89,6.22769,-0.0554985
90,6.22769,-0.0554985
91,6.22769,-0.0554985
92,6.22769,-0.0554985
93,6.22769,-0.0554985
94,6.22769,-0.0554985
95,0.0554985,0.0554985
96,0.0554985,0.0554985
97,0.0554985,0.0554985
98,0.0554985,0.0554985
99,0.0554985,0.0554985
100,0.0554985,0.0554985
101,0.0554985,0.0554985
102,0.0554985,0.0554985
103,0.0554985,0.0554985
104,0.218669,0.218669
105,0.218669,0.218669
106,0.218669,0.218669
107,0.218669,0.218669
108,0.218669,0.218669
109,0.404892,0.404892
110,0.404892,0.404892
111,0.404892,0.404892
112,0.404892,0.404892
113,0.404892,0.404892
114,0.404892,0.404892
115,0.404892,0.404892
116,0.218669,0.218669
117,0.218669,0.218669
118,0.218669,0.218669
119,0.218669,0.218669
120,0.218669,0.218669
121,0.0454233,0.0454233
122,0.0454233,0.0454233
123,0.0454233,0.0454233
124,0.0454233,0.0454233
125,0.0454233,0.0454233
126,0.0454233,0.0454233
127,0.0454233,0.0454233
128,0.0454233,0.0454233
129,0.0454233,0.0454233
