n,tangent,t2
0,4.99069,-1.2925
1,4.99069,-1.2925
2,4.99069,-1.2925
3,4.99069,-1.2925
4,4.99069,-1.2925
5,4.99069,-1.2925
6,4.99069,-1.2925
7,4.78916,-1.49402
8,4.78916,-1.49402
9,4.78916,-1.49402
10,4.78916,-1.49402
11,4.78916,-1.49402
12,4.78916,-1.49402
13,4.78916,-1.49402
14,4.78916,-1.49402
15,4.78916,-1.49402
16,4.78916,-1.49402
17,4.78916,-1.49402
18,4.78916,-1.49402
19,4.78916,-1.49402
20,4.99069,-1.2925
21,4.99069,-1.2925
22,4.99069,-1.2925
23,4.99069,-1.2925
24,5.30039,-0.982794
25,5.30039,-0.982794
26,5.30039,-0.982794
27,5.0929,-1.19029
28,5.0929,-1.19029
29,5.0929,-1.19029
30,5.0929,-1.19029
31,5.0929,-1.19029
32,5.25281,-1.03038
33,5.35589,-0.927295
34,5.35589,-0.927295
35,5.63968,-0.643501
36,5.63968,-0.643501
37,5.78384,-0.499347
38,5.78384,-0.499347
39,5.78384,-0.499347
40,5.78384,-0.499347
41,5.78384,-0.499347
42,5.78384,-0.499347
43,5.78384,-0.499347
44,5.78384,-0.499347
45,5.78384,-0.499347
46,5.78384,-0.499347
47,5.78384,-0.499347
48,5.78384,-0.499347
49,5.78384,-0.499347
50,5.78384,-0.499347
51,5.78384,-0.499347
52,5.78384,-0.499347
53,5.78384,-0.499347
54,5.78384,-0.499347
55,5.78384,-0.499347
56,5.78384,-0.499347
57,5.78384,-0.499347
58,5.78384,-0.499347
59,5.86496,-0.418224
60,5.86496,-0.418224
61,5.86496,-0.418224
62,5.86496,-0.418224
63,6.15883,-0.124355
64,6.15883,-0.124355
65,6.15883,-0.124355
66,6.15883,-0.124355
67,0.124355,0.124355
68,0.124355,0.124355
69,0.124355,0.124355
70,0.124355,0.124355
71,0.2783,0.2783
72,0.2783,0.2783
73,0.358771,0.358771
74,0.358771,0.358771
75,0.358771,0.358771
76,0.358771,0.358771
77,0.558599,0.558599
78,0.558599,0.558599
79,0.558599,0.558599
80,0.558599,0.558599
81,0.628796,0.628796
82,0.628796,0.628796
83,0.628796,0.628796
84,0.628796,0.628796
85,0.628796,0.628796
86,0.628796,0.628796
87,0.661043,0.661043
88,0.661043,0.661043
89,0.661043,0.661043
90,0.661043,0.661043
91,0.661043,0.661043
92,0.661043,0.661043
93,0.661043,0.661043
94,0.661043,0.661043
95,0.661043,0.661043
96,0.661043,0.661043
97,0.661043,0.661043
98,0.661043,0.661043
99,0.661043,0.661043
100,0.982794,0.982794
101,0.982794,0.982794
102,0.982794,0.982794
103,0.982794,0.982794
104,0.982794,0.982794
105,0.982794,0.982794
106,1.15257,1.15257
107,1.15257,1.15257
108,1.15257,1.15257
109,1.15257,1.15257
110,1.15257,1.15257
111,1.15257,1.15257
112,1.15257,1.15257
113,1.15257,1.15257
114,1.0637,1.0637
115,1.0637,1.0637
116,1.0637,1.0637
117,1.0637,1.0637
118,1.0637,1.0637
119,1.0637,1.0637
120,1.0637,1.0637
121,1.30454,1.30454
122,1.30454,1.30454
123,1.30454,1.30454
124,1.30454,1.30454
125,1.30454,1.30454
126,1.30454,1.30454
127,1.30454,1.30454
128,1.35213,1.35213
129,1.35213,1.35213
130,1.35213,1.35213
131,1.35213,1.35213
132,1.35213,1.35213
133,1.35213,1.35213
134,1.35213,1.35213
135,0.927295,0.927295
136,0.927295,0.927295
137,0.927295,0.927295
138,0.927295,0.927295
139,0.927295,0.927295
140,5.35589,-0.927295
141,5.35589,-0.927295
142,5.35589,-0.927295
143,5.35589,-0.927295
144,4.90978,-1.3734
145,4.90978,-1.3734
146,4.90978,-1.3734
147,4.51499,-1.76819
148,4.51499,-1.76819
149,4.51499,-1.76819
150,4.51499,-1.76819
151,4.51499,-1.76819
152,4.95737,-1.32582
153,4.95737,-1.32582
154,5.30039,-0.982794
155,5.69518,-0.588003
156,6.11804,-0.165149
157,6.11804,-0.165149
158,6.11804,-0.165149
159,0.165149,0.165149
160,0.165149,0.165149
161,0.165149,0.165149
162,0.732815,0.732815
163,0.732815,0.732815
164,0.732815,0.732815
165,0.732815,0.732815
166,0.732815,0.732815
167,0.732815,0.732815
168,0.732815,0.732815
169,0.732815,0.732815
170,0.837981,0.837981
171,0.837981,0.837981
172,0.837981,0.837981
173,0.837981,0.837981
174,0.837981,0.837981
175,0.837981,0.837981
176,0.837981,0.837981
177,0.837981,0.837981
178,1.27934,1.27934
179,1.27934,1.27934
180,1.27934,1.27934
181,1.27934,1.27934
182,1.27934,1.27934
183,1.27934,1.27934
184,1.27934,1.27934
185,1.27934,1.27934
186,1.47113,1.47113
187,1.47113,1.47113
188,1.47113,1.47113
189,1.47113,1.47113
190,1.47113,1.47113
191,1.67046,1.67046
192,1.67046,1.67046
193,1.67046,1.67046
194,1.67046,1.67046
195,1.67046,1.67046
196,2.1588,2.1588
197,2.1588,2.1588
198,2.1588,2.1588
199,2.1588,2.1588
200,1.03038,1.03038
201,1.03038,1.03038
202,1.03038,1.03038
203,1.03038,1.03038
204,1.03038,1.03038
205,0.54042,0.54042
206,0.54042,0.54042
207,0.54042,0.54042
208,0.380506,0.380506
209,0.165149,0.165149
210,0.165149,0.165149
211,0.165149,0.165149
212,6.11804,-0.165149
213,6.11804,-0.165149
214,6.11804,-0.165149
215,6.11804,-0.165149
216,6.11804,-0.165149
217,0.165149,0.165149
218,0.165149,0.165149
219,0.165149,0.165149
220,0.165149,0.165149
221,0.165149,0.165149
222,6.11804,-0.165149
223,6.11804,-0.165149
224,6.11804,-0.165149
225,5.17604,-1.10715
226,5.17604,-1.10715
227,5.90268,-0.380506
228,5.90268,-0.380506
229,5.90268,-0.380506
230,6.15883,-0.124355
231,6.15883,-0.124355
232,6.15883,-0.124355
233,6.15883,-0.124355
234,0.124355,0.124355
235,0.124355,0.124355
236,0.124355,0.124355
237,0.124355,0.124355
238,0.179853,0.179853
239,0.179853,0.179853
240,0.179853,0.179853
241,0.211093,0.211093
242,0.211093,0.211093
243,0.211093,0.211093
244,0.211093,0.211093
245,0.211093,0.211093
246,0.211093,0.211093
247,0.211093,0.211093
248,0.211093,0.211093
249,0.211093,0.211093
250,0.0767719,0.0767719
251,0.0767719,0.0767719
252,0.0767719,0.0767719
253,0.0767719,0.0767719
254,0.0767719,0.0767719
255,0.0767719,0.0767719
256,0.0767719,0.0767719
257,0.0767719,0.0767719
258,0.0767719,0.0767719
259,0.0767719,0.0767719
260,0.0767719,0.0767719
261,0.0767719,0.0767719
262,0.0767719,0.0767719
263,0.0767719,0.0767719
264,0.0767719,0.0767719
265,0.0767719,0.0767719
266,5.96143,-0.321751
267,5.69518,-0.588003
268,5.69518,-0.588003
269,5.69518,-0.588003
270,5.69518,-0.588003
271,0.785398,0.785398
272,0.785398,0.785398
273,5.30039,-0.982794
274,5.30039,-0.982794
275,5.30039,-0.982794
276,5.69518,-0.588003
277,5.69518,-0.588003
278,5.69518,-0.588003
279,5.17604,-1.10715
280,5.17604,-1.10715
281,5.56436,-0.71883
282,5.56436,-0.71883
283,5.56436,-0.71883
284,5.56436,-0.71883
285,5.56436,-0.71883
286,5.56436,-0.71883
287,5.56436,-0.71883
288,5.56436,-0.71883
289,5.43122,-0.851966
290,5.43122,-0.851966
291,5.43122,-0.851966
292,5.43122,-0.851966
293,5.43122,-0.851966
294,5.43122,-0.851966
295,5.43122,-0.851966
296,5.43122,-0.851966
297,5.90268,-0.380506
298,5.90268,-0.380506
299,5.90268,-0.380506
300,5.90268,-0.380506
301,5.90268,-0.380506
302,5.72459,-0.558599
303,5.72459,-0.558599
304,5.72459,-0.558599
305,5.72459,-0.558599
306,5.72459,-0.558599
307,5.72459,-0.558599
308,5.72459,-0.558599
309,5.30039,-0.982794
310,5.30039,-0.982794
311,5.30039,-0.982794
312,5.30039,-0.982794
313,5.69518,-0.588003
314,5.96143,-0.321751
315,5.96143,-0.321751
316,5.96143,-0.321751
317,5.96143,-0.321751
318,5.96143,-0.321751
319,0.463648,0.463648
320,0.463648,0.463648
321,0.463648,0.463648
322,6.08579,-0.197396
323,6.08579,-0.197396
324,6.08579,-0.197396
325,6.08579,-0.197396
326,6.08579,-0.197396
327,0.197396,0.197396
328,0.197396,0.197396
329,0.674741,0.674741
330,0.674741,0.674741
331,0.674741,0.674741
332,0.896055,0.896055
333,0.896055,0.896055
334,0.896055,0.896055
335,1.24905,1.24905
336,1.24905,1.24905
337,1.24905,1.24905
338,0.982794,0.982794
339,0.588003,0.588003
340,0.588003,0.588003
341,0.588003,0.588003
342,1.03038,1.03038
343,1.03038,1.03038
344,1.03038,1.03038
345,1.03038,1.03038
346,1.03038,1.03038
347,1.03038,1.03038
348,1.03038,1.03038
349,1.19029,1.19029
350,1.53082,1.53082
351,1.53082,1.53082
352,1.53082,1.53082
353,1.53082,1.53082
354,1.53082,1.53082
355,1.53082,1.53082
356,1.53082,1.53082
357,1.53082,1.53082
358,1.53082,1.53082
359,1.53082,1.53082
360,1.53082,1.53082
361,1.53082,1.53082
362,1.53082,1.53082
363,1.53082,1.53082
364,1.53082,1.53082
365,1.53082,1.53082
366,1.53082,1.53082
367,1.53082,1.53082
368,1.53082,1.53082
369,1.53082,1.53082
370,1.53082,1.53082
371,1.53082,1.53082
372,1.53082,1.53082
373,1.53082,1.53082
374,1.53082,1.53082
375,1.35213,1.35213
376,1.35213,1.35213
377,1.35213,1.35213
378,1.30454,1.30454
379,1.30454,1.30454
380,1.30454,1.30454
381,1.30454,1.30454
382,1.30454,1.30454
383,1.30454,1.30454
384,0.950547,0.950547
385,0.950547,0.950547
386,0.950547,0.950547
387,0.950547,0.950547
388,0.950547,0.950547
389,0.876058,0.876058
390,0.876058,0.876058
391,0.876058,0.876058
392,0.876058,0.876058
393,0.694738,0.694738
394,0.694738,0.694738
395,0.694738,0.694738
396,0.694738,0.694738
397,0.519146,0.519146
398,0.519146,0.519146
399,0.519146,0.519146
400,0.404892,0.404892
401,0.404892,0.404892
402,0.404892,0.404892
403,0.358771,0.358771
404,0.358771,0.358771
405,0.2783,0.2783
406,0.2783,0.2783
407,0.197396,0.197396
408,0.197396,0.197396
409,0.197396,0.197396
410,6.06452,-0.218669
411,6.06452,-0.218669
412,6.06452,-0.218669
413,6.06452,-0.218669
414,6.06452,-0.218669
415,6.06452,-0.218669
416,6.06452,-0.218669
417,5.90268,-0.380506
418,5.90268,-0.380506
419,5.90268,-0.380506
420,5.90268,-0.380506
421,5.90268,-0.380506
422,5.90268,-0.380506
423,5.90268,-0.380506
424,5.69518,-0.588003
425,5.69518,-0.588003
426,5.69518,-0.588003
427,5.96143,-0.321751
428,5.96143,-0.321751
429,5.96143,-0.321751
430,5.35589,-0.927295
431,5.35589,-0.927295
432,5.35589,-0.927295
433,5.35589,-0.927295
434,5.35589,-0.927295
435,5.35589,-0.927295
436,5.35589,-0.927295
437,5.23154,-1.05165
438,5.23154,-1.05165
439,5.23154,-1.05165
440,5.11728,-1.1659
441,5.11728,-1.1659
442,5.11728,-1.1659
443,5.07116,-1.21203
444,5.07116,-1.21203
445,4.99069,-1.2925
446,4.99069,-1.2925
447,4.81206,-1.47113
448,4.81206,-1.47113
449,4.81206,-1.47113
450,4.81206,-1.47113
451,4.81206,-1.47113
452,4.66243,-1.62075
453,4.66243,-1.62075
454,4.66243,-1.62075
455,4.66243,-1.62075
456,4.66243,-1.62075
457,4.66243,-1.62075
458,4.66243,-1.62075
459,4.66243,-1.62075
460,4.66243,-1.62075
461,4.66243,-1.62075
462,4.66243,-1.62075
463,4.66243,-1.62075
464,4.66243,-1.62075
465,4.66243,-1.62075
466,4.66243,-1.62075
467,4.66243,-1.62075
468,4.76235,-1.52084
469,4.76235,-1.52084
470,4.76235,-1.52084
471,4.76235,-1.52084
472,4.76235,-1.52084
473,4.76235,-1.52084
474,4.76235,-1.52084
475,4.76235,-1.52084
476,4.76235,-1.52084
477,4.76235,-1.52084
478,5.07116,-1.21203
479,5.07116,-1.21203
480,5.07116,-1.21203
481,5.07116,-1.21203
482,5.07116,-1.21203
483,5.07116,-1.21203
484,4.99069,-1.2925
485,4.99069,-1.2925
486,4.87754,-1.40565
487,4.87754,-1.40565
488,4.87754,-1.40565
489,4.54724,-1.73595
490,4.54724,-1.73595
491,4.54724,-1.73595
492,4.43409,-1.8491
493,4.43409,-1.8491
494,4.35362,-1.92957
495,4.35362,-1.92957
496,4.3075,-1.97569
497,4.3075,-1.97569
498,4.3075,-1.97569
499,4.3075,-1.97569
500,4.3075,-1.97569
501,4.3075,-1.97569
502,4.3075,-1.97569
503,4.35362,-1.92957
504,4.35362,-1.92957
505,4.35362,-1.92957
506,4.35362,-1.92957
507,4.35362,-1.92957
508,4.35362,-1.92957
509,4.35362,-1.92957
510,4.35362,-1.92957
511,4.35362,-1.92957
512,4.35362,-1.92957
513,4.35362,-1.92957
514,4.51499,-1.76819
515,4.51499,-1.76819
516,4.51499,-1.76819
517,4.51499,-1.76819
518,4.51499,-1.76819
519,4.51499,-1.76819
520,4.51499,-1.76819
521,4.51499,-1.76819
522,5.00385,-1.27934
523,5.00385,-1.27934
524,5.00385,-1.27934
525,5.00385,-1.27934
526,5.00385,-1.27934
527,5.00385,-1.27934
528,5.00385,-1.27934
529,5.00385,-1.27934
530,5.00385,-1.27934
531,5.00385,-1.27934
532,5.33264,-0.950547
533,5.33264,-0.950547
534,5.33264,-0.950547
535,5.33264,-0.950547
536,5.33264,-0.950547
537,5.40713,-0.876058
538,5.40713,-0.876058
539,5.40713,-0.876058
540,5.40713,-0.876058
541,5.58845,-0.694738
542,5.58845,-0.694738
543,5.58845,-0.694738
544,5.58845,-0.694738
545,5.66294,-0.620249
546,5.66294,-0.620249
547,5.66294,-0.620249
548,5.72459,-0.558599
549,5.72459,-0.558599
550,5.76404,-0.519146
551,5.76404,-0.519146
552,5.76404,-0.519146
553,5.87829,-0.404892
554,5.87829,-0.404892
555,5.87829,-0.404892
556,5.93441,-0.348771
557,5.93441,-0.348771
558,5.93441,-0.348771
559,5.93441,-0.348771
560,5.99173,-0.291457
561,5.99173,-0.291457
562,5.99173,-0.291457
563,5.99173,-0.291457
564,6.15883,-0.124355
565,6.15883,-0.124355
566,6.15883,-0.124355
567,6.15883,-0.124355
568,0.0906599,0.0906599
569,0.0906599,0.0906599
570,0.0906599,0.0906599
571,0.0906599,0.0906599
572,0.0906599,0.0906599
573,0.0906599,0.0906599
574,0.0906599,0.0906599
575,0.0906599,0.0906599
576,0.0906599,0.0906599
577,0.0906599,0.0906599
578,0.0906599,0.0906599
579,0.0906599,0.0906599
580,0.0906599,0.0906599
581,0.0906599,0.0906599
582,0.0906599,0.0906599
583,0.0906599,0.0906599
584,0.426627,0.426627
585,0.426627,0.426627
586,0.426627,0.426627
587,0.426627,0.426627
588,0.426627,0.426627
589,0.426627,0.426627
590,0.499347,0.499347
591,0.499347,0.499347
592,0.499347,0.499347
593,0.499347,0.499347
594,0.499347,0.499347
595,0.499347,0.499347
596,0.674741,0.674741
597,0.674741,0.674741
598,0.674741,0.674741
599,0.876058,0.876058
600,0.876058,0.876058
601,0.876058,0.876058
602,0.876058,0.876058
603,0.876058,0.876058
604,0.876058,0.876058
605,0.876058,0.876058
606,0.876058,0.876058
607,0.876058,0.876058
608,0.876058,0.876058
609,0.876058,0.876058
610,0.876058,0.876058
611,0.876058,0.876058
612,0.876058,0.876058
613,0.950547,0.950547
614,0.950547,0.950547
615,0.950547,0.950547
616,1.0122,1.0122
617,1.0122,1.0122
618,1.0637,1.0637
619,1.0637,1.0637
620,1.0637,1.0637
621,1.0637,1.0637
622,1.0637,1.0637
623,1.15257,1.15257
624,1.15257,1.15257
625,1.15257,1.15257
626,1.15257,1.15257
627,1.2925,1.2925
628,1.2925,1.2925
629,1.2925,1.2925
630,1.2925,1.2925
631,1.2925,1.2925
632,1.2925,1.2925
633,1.21203,1.21203
634,1.21203,1.21203
635,1.1659,1.1659
636,1.1659,1.1659
637,1.1659,1.1659
638,1.07145,1.07145
639,1.07145,1.07145
640,1.07145,1.07145
641,1.07145,1.07145
642,1.07145,1.07145
643,1.07145,1.07145
644,1.07145,1.07145
645,1.07145,1.07145
646,1.07145,1.07145
647,1.07145,1.07145
648,1.07145,1.07145
649,1.07145,1.07145
650,1.14417,1.14417
651,1.14417,1.14417
652,1.14417,1.14417
653,1.14417,1.14417
654,1.14417,1.14417
655,1.14417,1.14417
656,1.15839,1.15839
657,1.15839,1.15839
658,1.15839,1.15839
659,1.15839,1.15839
660,1.15839,1.15839
661,1.15839,1.15839
662,1.15839,1.15839
663,1.15839,1.15839
664,1.15839,1.15839
665,1.15839,1.15839
666,1.47113,1.47113
667,1.47113,1.47113
668,1.47113,1.47113
669,1.47113,1.47113
670,1.47113,1.47113
671,1.67046,1.67046
672,1.67046,1.67046
673,1.67046,1.67046
674,1.67046,1.67046
675,1.67046,1.67046
676,1.67046,1.67046
677,1.67046,1.67046
678,1.50838,1.50838
679,1.50838,1.50838
680,1.50838,1.50838
681,1.50838,1.50838
682,1.50838,1.50838
683,1.50838,1.50838
684,1.50838,1.50838
685,1.50838,1.50838
686,1.50838,1.50838
687,1.50838,1.50838
688,1.50838,1.50838
689,1.50838,1.50838
690,1.50838,1.50838
691,1.50838,1.50838
692,1.50838,1.50838
693,1.50838,1.50838
694,1.50838,1.50838
695,1.46592,1.46592
696,1.46592,1.46592
697,1.46592,1.46592
698,1.46592,1.46592
699,1.46592,1.46592
700,1.46592,1.46592
701,1.46592,1.46592
702,1.46592,1.46592
703,1.46592,1.46592
704,1.46592,1.46592
705,1.2925,1.2925
706,1.2925,1.2925
707,1.2925,1.2925
708,1.2925,1.2925
709,1.2925,1.2925
710,1.40565,1.40565
711,1.40565,1.40565
712,1.40565,1.40565
713,1.40565,1.40565
714,1.40565,1.40565
715,1.40565,1.40565
716,1.2925,1.2925
717,1.2925,1.2925
718,1.21203,1.21203
719,1.21203,1.21203
720,1.21203,1.21203
721,1.21203,1.21203
722,1.21203,1.21203
723,1.21203,1.21203
724,1.21203,1.21203
725,1.21203,1.21203
726,1.30454,1.30454
727,1.30454,1.30454
728,1.30454,1.30454
729,1.30454,1.30454
730,1.30454,1.30454
731,1.35213,1.35213
732,1.35213,1.35213
733,1.43824,1.43824
734,1.43824,1.43824
735,1.43824,1.43824
736,1.43824,1.43824
737,1.43824,1.43824
738,1.43824,1.43824
739,1.43824,1.43824
740,1.43824,1.43824
741,1.51026,1.51026
742,1.51026,1.51026
743,1.51026,1.51026
744,1.51026,1.51026
745,1.51026,1.51026
746,1.51026,1.51026
747,1.51026,1.51026
748,1.51026,1.51026
749,1.51026,1.51026
750,1.51026,1.51026
751,1.51026,1.51026
752,1.51026,1.51026
753,1.51026,1.51026
754,1.51026,1.51026
755,1.51026,1.51026
756,1.51026,1.51026
757,1.51026,1.51026
758,1.52915,1.52915
759,1.52915,1.52915
760,1.52915,1.52915
761,1.52915,1.52915
762,1.52915,1.52915
763,1.52915,1.52915
764,1.52915,1.52915
765,1.52915,1.52915
766,1.52915,1.52915
767,1.52915,1.52915
768,1.52915,1.52915
769,1.52915,1.52915
770,1.61244,1.61244
771,1.61244,1.61244
772,1.61244,1.61244
773,1.61244,1.61244
774,1.61244,1.61244
775,1.61244,1.61244
776,1.61244,1.61244
777,1.61244,1.61244
778,1.61244,1.61244
779,1.61244,1.61244
780,1.61244,1.61244
781,1.61244,1.61244
782,1.61244,1.61244
783,1.61244,1.61244
784,1.61244,1.61244
785,1.61244,1.61244
786,1.61244,1.61244
787,1.61244,1.61244
788,1.61244,1.61244
789,1.61244,1.61244
790,1.49949,1.49949
791,1.49949,1.49949
792,1.49949,1.49949
793,1.49949,1.49949
794,1.49949,1.49949
795,1.49949,1.49949
796,1.49949,1.49949
797,1.344,1.344
798,1.344,1.344
799,1.344,1.344
800,1.344,1.344
801,1.344,1.344
802,1.31019,1.31019
803,1.31019,1.31019
804,1.31019,1.31019
805,1.31019,1.31019
806,1.31019,1.31019
807,1.31019,1.31019
808,1.31019,1.31019
809,1.31019,1.31019
810,1.31019,1.31019
811,0.950547,0.950547
